Band #,date (D/M/Y),Colour,Darvic,Sex,Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
835159,6/10/1993,ROY,B05,F,ad,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,1,1,0,3,5,3,5,1,5,3,5,5,3,1,3,1
835138,3/14/1993,NA,B06,M,fl,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,3,0,5,3,5,5,3,3,1,3,5,5,0,0,0,0
837393,12/10/1989,BOW,B07,F,ad,0,0,0,0,0,0,0,1,0,1,1,1,1,0,5,5,3,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847542,10/14/1987,OGN,B08,F,ad,0,0,0,0,0,1,0,1,0,1,3,5,3,0,0,3,5,3,5,3,5,3,0,5,1,0,1,1,1,0,0,0,0,0
847981,10/16/1999,NA,B09,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847514,1/10/1987,OBW,B10,F,ad,0,0,0,0,0,1,0,3,5,1,0,1,0,0,1,1,5,5,5,3,0,3,3,5,3,5,5,5,1,0,0,0,0,0
835172,3/18/1994,NA,B11,M,fl,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,3,5,3,3,3,5,3,5,3,3,5,3,3,1,3
847940,1/11/1998,NA,B12,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,3,3,0,0,0,0,0,0,0,0,1,0,0
844574,4/22/1983,GRR,B13,F,ad,0,1,0,3,3,1,5,5,3,3,5,0,5,5,3,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837370,3/30/1989,NA,B14,M,fl,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,1,3,3,3,1,5,5,5,5,3,3,0,1,3,1
844669,10/11/1984,GGG,B15,F,ad,0,0,1,5,3,0,1,1,1,1,3,1,3,0,5,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843501,9/21/2000,NA,B17,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5,3,5,3,3,5,3,3,1,5,1
843502,9/24/2000,NA,B18,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837317,10/25/1988,OWB,B19,F,ad,0,0,0,0,0,0,1,1,1,5,3,0,3,0,0,1,3,0,5,3,5,3,3,3,5,3,5,3,3,5,3,3,0,3
844486,9/17/1983,YBN,B20,F,ad,0,3,3,3,3,3,3,3,1,3,3,5,5,5,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843503,9/26/2000,NA,B21,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,3,1,3,3,0,0,0,0,0,0,0,0
843504,9/26/2000,NA,B22,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,5,0,0,0,0,0,0,0,0,0,0
847889,5/11/1997,NA,B23,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,0,3,1,0,4,4,0,2,0,0,0,0,0,0
843505,9/26/2000,NA,B24,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835131,3/14/1993,NA,B25,M,fl,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0
843506,9/26/2000,NA,B26,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,5,3,5,3,3,3,1,3,3,3,1,3
843507,9/29/2000,NA,B27,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,3,3,3,3,3,3,5,0,0,5,1,1
837325,10/31/1988,OYN,B28,F,ad,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,3,0,1,0,1,3,3,1,1,1,5,1,0,0,0,0,5,0
835186,3/18/1994,NA,B29,M,fl,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,5,1,3,3,5,3,3,3,3,0,0,3,5,3
835154,3/14/1993,NA,B30,M,fl,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,5,3,3,3,3,5,3,3,3,5,5,3,0,0,0
843516,1/21/2001,NA,B31,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,3,0,3,3,1,1,1,3,0,0,0,0
843517,1/21/2001,NA,B32,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0
844642,2/19/1987,NA,B33,F,fl,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,3,5,5,3,0,0,0,0,0,0,0,0
835150,3/14/1993,NA,B34,F,fl,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,1,1,3,3,3,3,1,3,5,3,1,5,5,1,3,1
843518,1/21/2001,NA,B35,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843519,1/21/2001,NA,B36,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,5,5,3,5,3,5,5,3,0,0,0
843520,1/21/2001,NA,B37,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
843521,1/21/2001,NA,B38,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
843522,1/21/2001,NA,B39,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,3,3,0,0,5,1,0,0,0,0,0,0
843523,1/21/2001,NA,B40,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847869,6/3/1997,NA,B41,M,fl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,5,5,3,5,5,3,1,0,0
843524,1/21/2001,NA,B42,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,3,3,3,5,5,5,3,5,3,3,3
843525,1/21/2001,NA,B43,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,5,3,3,5,3,5,5,3,1,3
847778,11/21/1991,ROR,B44,F,ad,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5,5,3,3,5,5,3,5,1,5,3,0,0,0,0,0
835185,3/18/1994,NA,B45,M,fl,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,5,3,5,1,5,3,0,0,0,0,0,0
835173,3/18/1994,NA,B46,M,fl,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,3,5,3,3,3,5,5,5,3,0,3,3,3
843526,1/21/2001,NA,B47,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0
